name,profession,country,gender,link
Ole Bornedal,Director,Denmark,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1097
Martin Botha,academic,South Africa,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/333
Josephine Botting,archivist,UK,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/458
Núria Bou,academic,Spain,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/239
Don Boyd,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/931
Nick Bradshaw,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/259
Peter Bradshaw,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/206
Martin Brady,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/332
Tara Brady,critic,Ireland,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/67
Kenneth Branagh,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1020
Dorian Branea,programmer,Romania,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/652
Nicole Brenez,programmer,France,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/249
Mimi Brody,programmer,US,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/282
Richard Brody,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/167
Elisabeth Bronfen,academic,Switzerland,Female,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/638
Michael Brooke,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/310
Will Brooker,academic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/13
Xan Brooks,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/10
Paul Buck,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/221
Noël Burch,critic,France / US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/243
Janez Burger,Director,Slovenia,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/984
Charles Burnett,Director,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/910
Giulio Bursi,programmer,Italy,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/570
Edward Buscombe,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/644
Paul Bush,Director,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1109
Emilio Bustamante,academic,Peru,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/635
Pedro Butcher,critic,Brazil,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/211
Dave Calhoun,critic,UK,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/691
Dan Callahan,critic,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/702
Alejandro G. Calvo,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/832
Alfonso Camacho Cordón,critic,Spain,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/828
Juan Campanella,Director,Argentina,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1012
Fred Camper,critic; www.fredcamper.com,US,Male,https://www.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/598
