movie,year,director,movie_id
My Own Private Idaho,1991,Gus van Sant,id_174
Out of the Past,1947,Jacques Tourneur,id_175
Providence,1977,Alain Resnais,id_176
Tropical Malady,2004,Apichatpong Weerasethakul,id_177
"Umbrellas of Cherbourg, The",1964,Jacques Demy,id_178
"Wizard of Oz, The",1939,Victor Fleming,id_179
Blissfully Yours,2002,Apichatpong Weerasethakul,id_180
Celine and Julie Go Boating,1974,Jacques Rivette,id_181
Flowers of Shanghai,1998,Hsiao-hsien Hou,id_182
"Green Ray, The",1986,Eric Rohmer,id_183
"Leopard, The",1963,Luchino Visconti,id_184
My American Uncle,1980,Alain Resnais,id_185
Pickpocket,1959,Robert Bresson,id_186
"Havre, Le",2010,Aki Kaurismaki,id_187
Modern Life,2008,Raymond Depardon,id_188
"River, The",1997,Tsai Ming Liang,id_189
Silent Light,2007,Carlos Reygadas,id_190
Stalker,1979,Andrei Tarkovsky,id_191
Breathless,1960,Jean-Luc Godard,id_192
Dog Day Afternoon,1975,Sidney Lumet,id_193
Night and Fog,1955,Alain Resnais,id_194
Nostalgia for the Light,2010,Patricio Guzmán,id_195
Paranoid Park,2007,Gus van Sant,id_196
"Red Light Bandit, The",1968,Rogério Sganzerla,id_197
Rocco and his Brothers,1960,Luchino Visconti,id_198
Berlin Alexanderplatz,,Rainer Werner Fassbinder,id_199
"Conformist, The",1970,Bernardo Bertolucci,id_200
"Godfather: Part II, The",1974,Francis Ford Coppola,id_201
"Insider, The",1999,Michael Mann,id_202
Pulp Fiction,1994,Quentin Tarantino,id_203
"Tin Drum, The",1979,Volker Schlöndorff,id_204
"Cow, The",1969,Dariush Mehrjui,id_205
Dersu Uzala,1975,Akira Kurosawa,id_206
I am Cuba,1964,Mikhail Kalatozov,id_207
Cairo Station,1958,Youssef Chahine,id_208
Persona,1966,Ingmar Bergman,id_209
Shadows of Our Forgotten Ancestors,1964,Sergei Parajanov,id_210
Taxi Driver,1976,Martin Scorsese,id_211
God's Step Children,,Oscar Micheaux,id_212
High and Low,1963,Akira Kurosawa,id_213
"Hour of the Furnaces, The",1968,Octavio Getino/Fernando E. Solanas,id_214
Kiss Me Deadly,1955,Robert Aldrich,id_215
Perceval,1978,Eric Rohmer,id_216
Tokyo Story,1953,Ozu Yasujirô ,id_217
Aliens,1986,James Cameron,id_218
"Brighter Summer Day, A",1991,Edward Yang,id_219
Dr. Strangelove,1963,Stanley Kubrick,id_220
"enfants du paradis, Les",1945,Marcel Carné,id_221
"Jetée, La",1962,Chris Marker,id_222
Nostalghia,1983,Andrei Tarkovsky,id_223
