movie,year,director,movie_link,total_score,critic_score,director_score,french_voters_score
"Wizard of Oz, The",1939.0,Victor Fleming,https://www.bfi.org.uk/films-tv-people/4ce2b6bb09360,14,12.0,2.0,
Blissfully Yours,2002.0,Apichatpong Weerasethakul,https://www.bfi.org.uk/films-tv-people/4ce2b87fe9a8c,10,7.0,3.0,
Celine and Julie Go Boating,1974.0,Jacques Rivette,https://www.bfi.org.uk/films-tv-people/4ce2b6fe03642,15,13.0,2.0,
Flowers of Shanghai,1998.0,Hsiao-hsien Hou,https://www.bfi.org.uk/films-tv-people/4ce2b80eaafad,7,7.0,,
"Green Ray, The",1986.0,Eric Rohmer,https://www.bfi.org.uk/films-tv-people/4ce2b79ec3b22,9,6.0,3.0,1.0
"Leopard, The",1963.0,Luchino Visconti,https://www.bfi.org.uk/films-tv-people/4ce2b6aadb03d,31,26.0,5.0,1.0
My American Uncle,1980.0,Alain Resnais,https://www.bfi.org.uk/films-tv-people/4ce2b6bea6f6f,2,1.0,1.0,
Pickpocket,1959.0,Robert Bresson,https://www.bfi.org.uk/films-tv-people/4ce2b6b30995b,35,24.0,11.0,4.0
"Havre, Le",2010.0,Aki Kaurismaki,https://www.bfi.org.uk/films-tv-people/4ce2b8dd46b52,3,2.0,1.0,
Modern Life,2008.0,Raymond Depardon,https://www.bfi.org.uk/films-tv-people/4ce2b8cb65a27,2,,2.0,
"River, The",1997.0,Tsai Ming Liang,https://www.bfi.org.uk/films-tv-people/4ce2b7f21b141,4,2.0,2.0,
Silent Light,2007.0,Carlos Reygadas,https://www.bfi.org.uk/films-tv-people/4ce2b8c3565bc,7,5.0,2.0,1.0
Stalker,1979.0,Andrei Tarkovsky,https://www.bfi.org.uk/films-tv-people/4ce2b6bf3bbfd,53,39.0,14.0,
Breathless,1960.0,Jean-Luc Godard,https://www.bfi.org.uk/films-tv-people/4ce2b6bfd1ebb,84,57.0,27.0,2.0
Dog Day Afternoon,1975.0,Sidney Lumet,https://www.bfi.org.uk/films-tv-people/4ce2b6a909d23,5,1.0,4.0,
Night and Fog,1955.0,Alain Resnais,https://www.bfi.org.uk/films-tv-people/4ce2b6b1ca76f,10,6.0,4.0,
Nostalgia for the Light,2010.0,Patricio Guzmán,https://www.bfi.org.uk/films-tv-people/4ce2b8de821d9,4,3.0,1.0,
Paranoid Park,2007.0,Gus van Sant,https://www.bfi.org.uk/films-tv-people/4ce2b8c357ab8,1,,1.0,
"Red Light Bandit, The",1968.0,Rogério Sganzerla,https://www.bfi.org.uk/films-tv-people/4ce2b6f18c7c8,1,,1.0,
Rocco and his Brothers,1960.0,Luchino Visconti,https://www.bfi.org.uk/films-tv-people/4ce2b6b47f860,13,7.0,6.0,
"Conformist, The",1970.0,Bernardo Bertolucci,https://www.bfi.org.uk/films-tv-people/4ce2b6a7e0681,26,16.0,10.0,
"Godfather: Part II, The",1974.0,Francis Ford Coppola,https://www.bfi.org.uk/films-tv-people/4ce2b6ab42667,52,38.0,14.0,
"Insider, The",1999.0,Michael Mann,https://www.bfi.org.uk/films-tv-people/4ce2b81640fd5,3,1.0,2.0,
Pulp Fiction,1994.0,Quentin Tarantino,https://www.bfi.org.uk/films-tv-people/4ce2b7c5c1618,19,13.0,6.0,
"Tin Drum, The",1979.0,Volker Schlöndorff,https://www.bfi.org.uk/films-tv-people/4ce2b6f62d52b,3,1.0,2.0,
"Cow, The",1969.0,Dariush Mehrjui,https://www.bfi.org.uk/films-tv-people/4ce2b6aadbfeb,1,1.0,,
Dersu Uzala,1975.0,Akira Kurosawa,https://www.bfi.org.uk/films-tv-people/4ce2b6a8ac25c,5,1.0,4.0,
I am Cuba,1964.0,Mikhail Kalatozov,https://www.bfi.org.uk/films-tv-people/4ce2b78da502c,13,6.0,7.0,1.0
Cairo Station,1958.0,Youssef Chahine,https://www.bfi.org.uk/films-tv-people/4ce2b6bc1e641,4,3.0,1.0,
Persona,1966.0,Ingmar Bergman,https://www.bfi.org.uk/films-tv-people/4ce2b6b2deaa5,72,48.0,24.0,2.0
Shadows of Our Forgotten Ancestors,1964.0,Sergei Parajanov,https://www.bfi.org.uk/films-tv-people/4ce2b6b7d5c6e,8,6.0,2.0,
Taxi Driver,1976.0,Martin Scorsese,https://www.bfi.org.uk/films-tv-people/4ce2b6b7bc1b8,72,38.0,34.0,2.0
