voter,voter_profession,voter_country,movie_id
Simon Louvish,critic,US,id_511
Simon Louvish,critic,US,id_1787
Simon Louvish,critic,US,id_436
Simon Louvish,critic,US,id_184
Simon Louvish,critic,US,id_235
Simon Louvish,critic,US,id_342
Xiaoning Lu,academic,China/UK,id_1788
Xiaoning Lu,academic,China/UK,id_106
Xiaoning Lu,academic,China/UK,id_1789
Xiaoning Lu,academic,China/UK,id_63
Xiaoning Lu,academic,China/UK,id_332
Xiaoning Lu,academic,China/UK,id_618
Xiaoning Lu,academic,China/UK,id_47
Xiaoning Lu,academic,China/UK,id_163
Xiaoning Lu,academic,China/UK,id_785
Xiaoning Lu,academic,China/UK,id_217
Tim Lucas,critic,US,id_472
Tim Lucas,critic,US,id_10
Tim Lucas,critic,US,id_737
Tim Lucas,critic,US,id_155
Tim Lucas,critic,US,id_221
Tim Lucas,critic,US,id_360
Tim Lucas,critic,US,id_1790
Tim Lucas,critic,US,id_1791
Tim Lucas,critic,US,id_132
Tim Lucas,critic,US,id_960
Violet Lucca,critic,US,id_328
Violet Lucca,critic,US,id_1792
Violet Lucca,critic,US,id_150
Violet Lucca,critic,US,id_965
Violet Lucca,critic,US,id_1793
Violet Lucca,critic,US,id_571
Violet Lucca,critic,US,id_33
Violet Lucca,critic,US,id_169
Violet Lucca,critic,US,id_363
Violet Lucca,critic,US,id_256
Verena Lueken,critic,Germany,id_20
Verena Lueken,critic,Germany,id_328
Verena Lueken,critic,Germany,id_240
Verena Lueken,critic,Germany,id_745
Verena Lueken,critic,Germany,id_184
Verena Lueken,critic,Germany,id_194
Verena Lueken,critic,Germany,id_414
Verena Lueken,critic,Germany,id_556
Verena Lueken,critic,Germany,id_273
Verena Lueken,critic,Germany,id_177
Marlena Lukasiak,programmer,Poland,id_410
Marlena Lukasiak,programmer,Poland,id_110
Marlena Lukasiak,programmer,Poland,id_13
Marlena Lukasiak,programmer,Poland,id_102
Marlena Lukasiak,programmer,Poland,id_166
Marlena Lukasiak,programmer,Poland,id_126
Marlena Lukasiak,programmer,Poland,id_36
Marlena Lukasiak,programmer,Poland,id_191
Marlena Lukasiak,programmer,Poland,id_217
Marlena Lukasiak,programmer,Poland,id_342
Jan Lumholdt,critic,Sweden,id_1482
Jan Lumholdt,critic,Sweden,id_1794
Jan Lumholdt,critic,Sweden,id_585
Jan Lumholdt,critic,Sweden,id_417
Jan Lumholdt,critic,Sweden,id_846
Jan Lumholdt,critic,Sweden,id_1002
Jan Lumholdt,critic,Sweden,id_1795
Jan Lumholdt,critic,Sweden,id_45
Jan Lumholdt,critic,Sweden,id_463
Jan Lumholdt,critic,Sweden,id_1796
Cristina Álvarez López,critic,Spain,id_1625
Cristina Álvarez López,critic,Spain,id_360
Cristina Álvarez López,critic,Spain,id_284
Cristina Álvarez López,critic,Spain,id_347
Cristina Álvarez López,critic,Spain,id_166
Cristina Álvarez López,critic,Spain,id_1785
Cristina Álvarez López,critic,Spain,id_1797
Cristina Álvarez López,critic,Spain,id_1798
Cristina Álvarez López,critic,Spain,id_7
Cristina Álvarez López,critic,Spain,id_235
Kalle Løchen,critic,Norway,id_159
Kalle Løchen,critic,Norway,id_158
Kalle Løchen,critic,Norway,id_229
Kalle Løchen,critic,Norway,id_24
Kalle Løchen,critic,Norway,id_26
Kalle Løchen,critic,Norway,id_747
Kalle Løchen,critic,Norway,id_366
Kalle Løchen,critic,Norway,id_17
Kalle Løchen,critic,Norway,id_560
Kalle Løchen,critic,Norway,id_146
Kevin MacDonald,Director,UK,id_20
Kevin MacDonald,Director,UK,id_1503
